Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
DEL.POL.GUARUJA,KF8017-1/2024,"Incêndio (art. 250, caput)",29/07/2024,29/07/2024
01º D.P. GUARUJA,IF8470-1/2024,"Incêndio (art. 250, caput)",12/06/2024,17/06/2024
DELEGACIA ELETRONICA 3,HW8381-1/2024,"Incêndio (art. 250, caput)",25/05/2024,10/06/2024
02º D.P. GUARUJA,HH7039-1/2024,"Incêndio (art. 250, caput)",10/05/2024,28/05/2024
DEL.POL.GUARUJA,GS8143-1/2024,"Incêndio (art. 250, caput)",08/05/2024,16/05/2024
DEL.POL.GUARUJA,GM8235-1/2024,"Incêndio (art. 250, caput)",10/05/2024,11/05/2024
DEL.POL.GUARUJA,GG2680-1/2024,"Incêndio (art. 250, caput)",06/05/2024,06/05/2024
DEL.POL.GUARUJA,FC4586-1/2024,"Incêndio (art. 250, caput)",13/04/2024,13/04/2024
02º D.P. GUARUJA,DR6064-1/2024,"Incêndio (art. 250, caput)",15/03/2024,15/03/2024
DELEGACIA ELETRONICA 3,CE1118-1/2024,"Incêndio (art. 250, caput)",14/02/2024,15/02/2024
DEL.POL.GUARUJA,BD2542-1/2024,"Incêndio (art. 250, caput)",24/01/2024,24/01/2024
01º D.P. GUARUJA,AC2163-1/2024,"Incêndio (art. 250, caput)",03/01/2024,03/01/2024
