Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
01º D.P. MONGAGUA,LM4130-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",17/08/2024,22/08/2024
DEL.POL.MONGAGUA,IS4286-1/2024,"Incêndio (art. 250, caput)",25/06/2024,25/06/2024
DEL.POL.MONGAGUA,HZ6624-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",10/06/2024,11/06/2024
DEL.POL.MONGAGUA,HM3041-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",01/06/2024,01/06/2024
DEL.POL.MONGAGUA,HL4639-1/2024,"Incêndio (art. 250, caput)",30/05/2024,31/05/2024
DEL.POL.MONGAGUA,HF2141-1/2024,"Incêndio (art. 250, caput)",26/05/2024,27/05/2024
DEL.POL.MONGAGUA,DH8215-1/2024,"Incêndio (art. 250, caput)",08/03/2024,08/03/2024
01º D.P. MONGAGUA,BY1495-1/2024,"Incêndio (art. 250, caput)",09/02/2024,09/02/2024
01º D.P. MONGAGUA,AZ6484-1/2024,"Incêndio (art. 250, caput)",20/01/2024,22/01/2024
DEL.POL.MONGAGUA,AJ0894-1/2024,"Incêndio (art. 250, caput)",08/01/2024,08/01/2024
DEL.POL.MONGAGUA,AG5112-1/2024,"Incêndio (art. 250, caput)",03/01/2024,06/01/2024
DEL.POL.MONGAGUA,AA9119-1/2024,"Incêndio (art. 250, caput)",29/12/2023,02/01/2024
