Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
CPJ Praia Grande,KW1890-1/2024,"Incêndio (art. 250, caput)",10/08/2024,10/08/2024
01º D.P. PRAIA GRANDE-VL. TUPI,KJ5759-1/2024,"Incêndio (art. 250, caput), Localização/Apreensão e Entrega de veículo",31/07/2024,31/07/2024
03º D.P. PRAIA GRANDE-CAIÇARA,KI1101-1/2024,"Incêndio (art. 250, caput)",29/07/2024,30/07/2024
03º D.P. PRAIA GRANDE-CAIÇARA,JZ4104-1/2024,"Incêndio (art. 250, caput)",22/07/2024,23/07/2024
CPJ Praia Grande,JF7257-1/2024,"Incêndio (art. 250, caput)",06/07/2024,06/07/2024
DELEGACIA ELETRONICA 3,IQ3560-2/2024,"Incêndio (art. 250, caput)",21/06/2024,02/07/2024
CPJ Praia Grande,IX9031-1/2024,"Incêndio (art. 250, caput)",01/07/2024,01/07/2024
CPJ Praia Grande,IX1302-1/2024,"Incêndio (art. 250, caput)",29/06/2024,29/06/2024
CPJ Praia Grande,IP5915-1/2024,"Incêndio (art. 250, caput)",24/06/2024,24/06/2024
DDM PRAIA GRANDE,IL4837-1/2024,"Art. 215A - Importunação Sexual, Incêndio (art. 250, caput), Ameaça (art. 147)",21/01/2024,20/06/2024
03º D.P. PRAIA GRANDE-CAIÇARA,GR2516-1/2024,"Incêndio (art. 250, caput)",13/05/2024,15/05/2024
DELEGACIA ELETRONICA 3,GM1876-1/2024,"Incêndio (art. 250, caput)",09/05/2024,10/05/2024
CPJ Praia Grande,GG3390-2/2024,"Incêndio (art. 250, caput)",07/05/2024,09/05/2024
CPJ Praia Grande,GD5598-1/2024,"Incêndio (art. 250, caput)",03/05/2024,03/05/2024
DEL.SEC.BAURU PLANTÃO,CB6680-6/2024,"Homicídio (art. 121), Disparo de arma de fogo (Art. 15), Incêndio (art. 250, caput)",13/02/2024,18/03/2024
CPJ Praia Grande,DS7857-1/2024,"Incêndio (art. 250, caput)",16/03/2024,16/03/2024
01º D.P. PRAIA GRANDE-VL. TUPI,CC8404-3/2024,"Incêndio (art. 250, caput), Dano (art. 163), Ameaça (art. 147)",10/02/2024,15/02/2024
CPJ Praia Grande,CA7806-1/2024,"Incêndio (art. 250, caput)",12/02/2024,12/02/2024
CPJ Praia Grande,BS6267-2/2024,"Incêndio (art. 250, caput), Comunicação de óbito",05/02/2024,07/02/2024
CPJ Praia Grande,AY5744-1/2024,"Incêndio (art. 250, caput)",20/01/2024,21/01/2024
03º D.P. PRAIA GRANDE-CAIÇARA,AW1056-1/2024,"Furto (art. 155), Incêndio (art. 250, caput)",18/01/2024,18/01/2024
DELEGACIA ELETRONICA 3,AI8754-1/2024,"Incêndio (art. 250, caput)",06/01/2024,08/01/2024
01º D.P. PRAIA GRANDE-VL. TUPI,AC4983-2/2024,"Incêndio (art. 250, caput)",03/01/2024,04/01/2024
03º D.P. PRAIA GRANDE-CAIÇARA,AB7399-1/2024,"Incêndio (art. 250, caput)",02/01/2024,02/01/2024
