Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
DELEGACIA ELETRONICA 3,LG9622-1/2024,"Incêndio (art. 250, caput)",16/08/2024,19/08/2024
DEL.SEC.REGISTRO PLANTÃO,KN9560-1/2024,"Morte suspeita, Incêndio (art. 250, caput)",01/08/2024,04/08/2024
DEL.SEC.REGISTRO PLANTÃO,JO3977-1/2024,"Dano (art. 163), Incêndio (art. 250, caput), Associação Criminosa (art. 288)",14/07/2024,15/07/2024
DEL.SEC.REGISTRO PLANTÃO,IN7037-1/2024,"Incêndio (art. 250, caput)",21/06/2024,21/06/2024
01º D.P. REGISTRO,IF7507-1/2024,"Incêndio (art. 250, caput)",15/06/2024,17/06/2024
DEL.SEC.REGISTRO PLANTÃO,GM4222-1/2024,"Incêndio (art. 250, caput)",10/05/2024,10/05/2024
01º D.P. REGISTRO,GH1625-1/2024,"Incêndio (art. 250, caput)",07/05/2024,07/05/2024
01º D.P. REGISTRO,EW7637-1/2024,"Incêndio (art. 250, caput)",09/04/2024,09/04/2024
DEL.SEC.REGISTRO PLANTÃO,EO9687-1/2024,"Incêndio (art. 250, caput)",03/04/2024,03/04/2024
02º D.P. REGISTRO,BK6875-1/2024,"Incêndio (art. 250, caput)",29/01/2024,30/01/2024
