Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
CPJ SANTOS,LA3420-1/2024,"Incêndio (art. 250, caput)",13/08/2024,13/08/2024
07º D.P. SANTOS,KZ9125-1/2024,"Incêndio (art. 250, caput)",13/08/2024,13/08/2024
01º D.P. SANTOS,IW6151-1/2024,"Incêndio (art. 250, caput)",28/06/2024,28/06/2024
CPJ SANTOS,IE4412-1/2024,"Incêndio (art. 250, caput)",14/06/2024,14/06/2024
CPJ SANTOS,HZ9088-1/2024,"Incêndio (art. 250, caput)",12/06/2024,12/06/2024
DELEGACIA ELETRONICA 3,HZ0710-1/2024,"Incêndio (art. 250, caput)",11/06/2024,11/06/2024
05º D.P. SANTOS,HY7297-1/2024,"Incêndio (art. 250, caput)",11/06/2024,11/06/2024
DELEGACIA ELETRONICA 3,HU2665-1/2024,"Incêndio (art. 250, caput)",01/05/2024,07/06/2024
CPJ SANTOS,HR9018-1/2024,"Incêndio (art. 250, caput), Drogas para consumo pessoal sem autorização ou em desacordo (Art.28,caput)",06/06/2024,06/06/2024
CPJ SANTOS,GO9498-1/2024,"Incêndio (art. 250, caput)",13/05/2024,13/05/2024
CPJ SANTOS,GB9454-1/2024,"Incêndio (art. 250, caput)",02/05/2024,02/05/2024
CPJ SANTOS,FZ6935-1/2024,"Incêndio (art. 250, caput), Lesão corporal (art. 129)",01/05/2024,01/05/2024
04º D.P. SANTOS,FY3784-1/2024,"Incêndio (art. 250, caput)",30/04/2024,30/04/2024
01º D.P. SANTOS,FQ6463-2/2024,"Incêndio (art. 250, caput)",24/04/2024,26/04/2024
07º D.P. SANTOS,FR3105-1/2024,"Incêndio (art. 250, caput)",22/04/2024,24/04/2024
CPJ SANTOS,EW5206-1/2024,"Incêndio (art. 250, caput)",09/04/2024,09/04/2024
CPJ SANTOS,EL2213-1/2024,"Incêndio (art. 250, caput)",31/03/2024,31/03/2024
DELEGACIA ELETRONICA 3,DK3075-4/2024,"Incêndio (art. 250, caput)",10/03/2024,18/03/2024
CPJ SANTOS,DT2171-1/2024,"Incêndio (art. 250, caput)",17/03/2024,17/03/2024
CPJ SANTOS,DR0828-1/2024,"Incêndio (art. 250, caput)",14/03/2024,15/03/2024
CPJ SANTOS,DN9648-1/2024,"Incêndio (art. 250, caput)",12/03/2024,13/03/2024
CPJ SANTOS,DM4967-2/2024,"Incêndio (art. 250, caput), Dano (art. 163), Localização/Apreensão de objeto",11/03/2024,12/03/2024
03º D.P. SANTOS,DG8685-1/2024,"Incêndio (art. 250, caput)",11/02/2024,07/03/2024
DELEGACIA ELETRONICA 3,CV5100-1/2024,"Incêndio (art. 250, caput)",23/02/2024,27/02/2024
DELEGACIA ELETRONICA 3,CI7315-2/2024,"Incêndio (art. 250, caput)",19/02/2024,25/02/2024
04º D.P. SANTOS,CJ3884-3/2024,"Furto (art. 155), Incêndio (art. 250, caput)",19/02/2024,21/02/2024
03º D.P. SANTOS,BN5438-1/2024,"Incêndio (art. 250, caput)",10/01/2024,01/02/2024
DELEGACIA ELETRONICA 3,BK1293-1/2024,"Incêndio (art. 250, caput)",23/01/2024,30/01/2024
CPJ SANTOS,AT4214-1/2024,"Incêndio (art. 250, caput)",16/01/2024,17/01/2024
