Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
03º D.P. SÃO VICENTE,KK8153-1/2024,"Incêndio (art. 250, caput)",20/07/2024,01/08/2024
03º D.P. SÃO VICENTE,KC7179-2/2024,"Homicídio (art. 121), Incêndio (art. 250, caput)",25/07/2024,25/07/2024
DEL.POL.S.VICENTE,JW9649-1/2024,"Incêndio (art. 250, caput)",22/07/2024,22/07/2024
DEL.POL.S.VICENTE,JU5622-1/2024,"Incêndio (art. 250, caput)",19/07/2024,19/07/2024
03º D.P. SÃO VICENTE,JM7798-1/2024,"Incêndio (art. 250, caput)",25/08/2023,12/07/2024
DEL.POL.S.VICENTE,IU0407-1/2024,"Incêndio (art. 250, caput)",27/06/2024,27/06/2024
03º D.P. SÃO VICENTE,ID5190-1/2024,"Incêndio (art. 250, caput)",14/06/2024,14/06/2024
DEL.POL.S.VICENTE,HM6520-1/2024,"Incêndio (art. 250, caput)",01/06/2024,01/06/2024
03º D.P. SÃO VICENTE,GK4069-1/2024,"Incêndio (art. 250, caput)",09/05/2024,09/05/2024
01º D.P. SÃO VICENTE,FG8289-1/2024,"Incêndio (art. 250, caput)",01/04/2024,16/04/2024
DEL.POL.S.VICENTE,CR6590-1/2024,"Incêndio (art. 250, caput)",26/02/2024,26/02/2024
