Delegacia,Número/Ano,Natureza,Data do Fato,Data do Registro
DEL.POL.BARRA DO TURVO,JV3122-1/2024,"Incêndio (art. 250, caput)",19/07/2024,19/07/2024
DEL.POL.BARRA DO TURVO,EM0718-1/2024,"Incêndio (art. 250, caput)",28/03/2024,01/04/2024
DEL.POL.BARRA DO TURVO,EK0471-1/2024,"Incêndio (art. 250, caput)",27/03/2024,29/03/2024
DEL.POL.BARRA DO TURVO,DD7380-1/2024,"Incêndio (art. 250, caput)",04/03/2024,06/03/2024
DEL.POL.BERTIOGA,LI4059-1/2024,"Incêndio (art. 250, caput)",20/08/2024,20/08/2024
DEL.POL.BERTIOGA,KN9862-1/2024,"Incêndio (art. 250, caput)",04/08/2024,04/08/2024
DEL.POL.BERTIOGA,JG9945-1/2024,"Incêndio (art. 250, caput)",07/07/2024,08/07/2024
DEL.POL.BERTIOGA,HL4982-1/2024,"Incêndio (art. 250, caput)",30/05/2024,31/05/2024
DEL.POL.BERTIOGA,GN4470-1/2024,"Incêndio (art. 250, caput)",12/05/2024,12/05/2024
DEL.POL.BERTIOGA,GK9424-1/2024,"Incêndio (art. 250, caput), Ameaça (art. 147), Violência Doméstica, Injúria (art. 140), Lesão corporal (art. 129)",10/05/2024,10/05/2024
DELEGACIA ELETRONICA 3,CE9309-2/2024,"Incêndio (art. 250, caput)",20/01/2024,19/02/2024
DEL.POL.BERTIOGA,AG0353-1/2024,"Ameaça (art. 147), Incêndio (art. 250, caput)",03/01/2024,05/01/2024
DEL.POL.CAJATI,LK9663-1/2024,"Incêndio (art. 250, caput)",17/08/2024,21/08/2024
DEL.POL.CAJATI,IU7920-1/2024,"Incêndio (art. 250, caput)",27/06/2024,27/06/2024
DEL.POL.CAJATI,GA5995-1/2024,"Incêndio (art. 250, caput), Violência Doméstica",02/05/2024,02/05/2024
DEL.POL.CAJATI,EN3602-1/2024,"Incêndio (art. 250, caput)",01/04/2024,01/04/2024
DEL.POL.CAJATI,DA6330-2/2024,"Dano (art. 163), Incêndio (art. 250, caput)",03/03/2024,04/03/2024
DEL.POL.CANANEIA,IR0124-1/2024,"Violação de domicílio (art. 150), Ameaça (art. 147), Incêndio (art. 250, caput)",22/06/2024,25/06/2024
DEL.POL.CANANEIA,GO5817-1/2024,"Violação de domicílio (art. 150), Incêndio (art. 250, caput), Injúria (art. 140), Descumprimento de medida protetiva de urgência (art. 24-A), Violência Doméstica",11/05/2024,13/05/2024
DEL.POL.CUBATÃO,IX4175-1/2024,"Incêndio (art. 250, caput)",30/06/2024,30/06/2024
02º D.P. CUBATÃO,HG1680-1/2024,"Incêndio (art. 250, caput)",08/02/2024,27/05/2024
DEL.POL.CUBATÃO,GD8357-2/2024,"Incêndio (art. 250, caput)",04/05/2024,07/05/2024
DEL.POL.CUBATÃO,BC5174-1/2024,"Incêndio (art. 250, caput)",23/01/2024,23/01/2024
DEL.POL.ELDORADO,LH6672-1/2024,"Incêndio (art. 250, caput)",19/08/2024,19/08/2024
DEL.POL.ELDORADO,BU0047-1/2024,"Incêndio (art. 250, caput)",06/02/2024,06/02/2024
DEL.POL.GUARUJA,KF8017-1/2024,"Incêndio (art. 250, caput)",29/07/2024,29/07/2024
01º D.P. GUARUJA,IF8470-1/2024,"Incêndio (art. 250, caput)",12/06/2024,17/06/2024
DELEGACIA ELETRONICA 3,HW8381-1/2024,"Incêndio (art. 250, caput)",25/05/2024,10/06/2024
02º D.P. GUARUJA,HH7039-1/2024,"Incêndio (art. 250, caput)",10/05/2024,28/05/2024
DEL.POL.GUARUJA,GS8143-1/2024,"Incêndio (art. 250, caput)",08/05/2024,16/05/2024
DEL.POL.GUARUJA,GM8235-1/2024,"Incêndio (art. 250, caput)",10/05/2024,11/05/2024
DEL.POL.GUARUJA,GG2680-1/2024,"Incêndio (art. 250, caput)",06/05/2024,06/05/2024
DEL.POL.GUARUJA,FC4586-1/2024,"Incêndio (art. 250, caput)",13/04/2024,13/04/2024
02º D.P. GUARUJA,DR6064-1/2024,"Incêndio (art. 250, caput)",15/03/2024,15/03/2024
DELEGACIA ELETRONICA 3,CE1118-1/2024,"Incêndio (art. 250, caput)",14/02/2024,15/02/2024
DEL.POL.GUARUJA,BD2542-1/2024,"Incêndio (art. 250, caput)",24/01/2024,24/01/2024
01º D.P. GUARUJA,AC2163-1/2024,"Incêndio (art. 250, caput)",03/01/2024,03/01/2024
DELEGACIA ELETRONICA 3,HN5769-1/2024,"Incêndio (art. 250, caput)",13/05/2024,03/06/2024
DEL.POL.IGUAPE,DI7154-1/2024,"Incêndio (art. 250, caput)",07/03/2024,08/03/2024
DEL.POL.ILHA COMPRIDA,HM5269-2/2024,"Furto (art. 155), Incêndio (art. 250, caput)",31/05/2024,29/06/2024
DEL.POL.ILHA COMPRIDA,FN1650-1/2024,"Incêndio (art. 250, caput)",22/04/2024,22/04/2024
DEL.POL.IPORANGA,LM5708-1/2024,"Incêndio (art. 250, caput)",20/08/2024,22/08/2024
DELEGACIA ELETRONICA 3,GC4893-1/2024,"Incêndio (art. 250, caput)",02/05/2024,03/05/2024
03º D.P. ITANHAEM,LH5311-1/2024,"Incêndio (art. 250, caput)",17/08/2024,19/08/2024
DEL.SEC.ITANHAEM PLANTÃO,LG3966-1/2024,"Incêndio (art. 250, caput)",18/08/2024,18/08/2024
01º D.P. ITANHAEM,JT4200-1/2024,"Incêndio (art. 250, caput)",18/07/2024,18/07/2024
DEL.SEC.ITANHAEM PLANTÃO,IF5028-1/2024,"Incêndio (art. 250, caput)",16/06/2024,17/06/2024
01º D.P. ITANHAEM,GS3468-1/2024,"Incêndio (art. 250, caput)",15/05/2024,16/05/2024
02º D.P. ITANHAEM,FO9950-1/2024,"Incêndio (art. 250, caput)",11/04/2024,23/04/2024
02º D.P. ITANHAEM,EY4541-1/2024,"Incêndio (art. 250, caput), Furto (art. 155)",09/04/2024,10/04/2024
DEL.SEC.ITANHAEM PLANTÃO,EK7314-1/2024,"Incêndio (art. 250, caput)",28/03/2024,30/03/2024
